Text,Category 
Ekmekana jhawa aata😂😂😂,Homophobia
Single mra na bayka nstyal bhetat tr pn asle khi udyogdhande kru nka re😂,Homophobia
म्हणजे तुला लिंग आहे का,None of the categories
गे म्हणायचं ऐवजी करणं झोहर आहे म्हणायचं होत समजलं असत सगळयांना,None of the categories
About sex parantu yanchi mansika ashi kashi asate,Homophobia
दिशा पिंकी शेख आणि शमिभा  या दोघींनी प्रत्येक गोष्ट सुस्पष्ट रित्या मांडली खुप खुप प्रेम 💖💖,None of the categories
खूप छान खूप छान खूप छान खूप छान खूप छान खूप छान खूप छान खूप छान खूप छान खूप छान खूप छान खूप छान खूप छान खूप छान खूप छान खूप छान खूप छान खूप छान खूप छान खूप,None of the categories
"इतकी महत्त्वाची बातमी दिल्या बद्दल खूप खूप धन्यवाद
😂😅🤣

",None of the categories
"Congratulations 🌹🌹..And I am proud .. both of you..तुम्ही दोघांनी एकत्र येऊन हे सिद्ध केलं की.. तुम्ही खुप खुप strong आहात ..wish you all the best to  your future journey..आम्ही सर्व तुमच्या सोबत आहोत .. keep smile 🙂🙂enjoy the life 👍👍

",None of the categories
"आता कोर्टाने समलिंगी संबंध मान्य केले तर हे त्या समाजासाठी चांगलं आहे, पण सामान्य समाजात यामुळे पुढचे प्रश्न उभे राहतील त्याचे काय, कायद्याने मान्यता म्हणजे आता यांना मुले दत्तक किंवा सरोगसीने घ्यायलाही कायद्याला मान्यता द्यावी लागेल नंतर या मुलांचा मानसिक आरोग्याचा विचार करावा लागेल. तसेच इतर बरेच प्रश्न निर्माण होतील याचाही कोर्टाला सारासार विचार करणे व तशी गाईड line सरकारला देणे आवश्यक आहे !!!.",None of the categories
आता काय गे वरती पण फिल्म बनवणार मुलासाठी अरे लाजा वाटुद्या जरा तुम्हाला.,Homophobia
राहायला असरा दिला आणि तिथून सुरू झाली प्रेम कहाणी,None of the categories
